Domain,Type,Sponsoring Organisation,Date
.schmidt,generic,SALM S.A.S.,2024-07-02
.scholarships,generic,"Scholarships.com, LLC",2024-07-02
.school,generic,"Little Galley, LLC",2024-07-02
.schule,generic,"Outer Moon, LLC",2024-07-02
.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG,2024-07-02
.science,generic,dot Science Limited,2024-07-02
.scot,generic,Dot Scot Registry Limited,2024-07-02
.services,generic,"Fox Castle, LLC",2024-07-02
.sew,generic,SEW-EURODRIVE GmbH & Co KG,2024-07-02
.sexy,generic,"Uniregistry, Corp.",2024-07-02
.shiksha,generic,Afilias Limited,2024-07-02
.shoes,generic,"Binky Galley, LLC",2024-07-02
.shriram,generic,Shriram Capital Ltd.,2024-07-02
.singles,generic,"Fern Madison, LLC",2024-07-02
.site,generic,DotSite Inc.,2024-07-02
.sky,generic,"Sky IP International Ltd, a company incorporated in England and Wales, operating via its registered Swiss branch",2024-07-02
.social,generic,United TLD Holdco Ltd.,2024-07-02
.software,generic,"United TLD Holdco, Ltd",2024-07-02
.sohu,generic,Sohu.com Limited,2024-07-02
.solar,generic,"Ruby Town, LLC",2024-07-02
.solutions,generic,"Silver Cover, LLC",2024-07-02
.soy,generic,Charleston Road Registry Inc.,2024-07-02
.space,generic,DotSpace Inc.,2024-07-02
.spiegel,generic,SPIEGEL-Verlag Rudolf Augstein GmbH & Co. KG,2024-07-02
.spreadbetting,generic,DOTSPREADBETTING REGISTRY LTD,2024-07-02
.study,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2024-07-02
.style,generic,"Binky Moon, LLC",2024-07-02
.sucks,generic,Vox Populi Registry Inc.,2024-07-02
.supplies,generic,"Atomic Fields, LLC",2024-07-02
.supply,generic,"Half Falls, LLC",2024-07-02
.support,generic,"Grand Orchard, LLC",2024-07-02
.surf,generic,Top Level Domain Holdings Limited,2024-07-02
.surgery,generic,"Tin Avenue, LLC",2024-07-02
.suzuki,generic,SUZUKI MOTOR CORPORATION,2024-07-02
.sydney,generic,"State of New South Wales, Department of Premier and Cabinet",2024-07-02
.systems,generic,"Dash Cypress, LLC",2024-07-02
.taipei,generic,Taipei City Government,2024-07-02
.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic""",2024-07-02
.tattoo,generic,"Uniregistry, Corp.",2024-07-02
.tax,generic,"Storm Orchard, LLC",2024-07-02
.tech,generic,Dot Tech LLC,2024-07-02
.technology,generic,"Auburn Falls, LLC",2024-07-02
.temasek,generic,Temasek Holdings (Private) Limited,2024-07-02
.tennis,generic,"Cotton Bloom, LLC",2024-07-02
.tickets,generic,Accent Media Limited,2024-07-02
.tienda,generic,"Victor Manor, LLC",2024-07-02
.tips,generic,"Corn Willow, LLC",2024-07-02
.tires,generic,"Dog Edge, LLC",2024-07-02
.tirol,generic,punkt Tirol GmbH,2024-07-02
.today,generic,"Pearl Woods, LLC",2024-07-02
.tokyo,generic,"GMO Registry, Inc.",2024-07-02
.tools,generic,"Pioneer North, LLC",2024-07-02
.top,generic,"Jiangsu Bangning Science & Technology Co.,Ltd.",2024-07-02
.toshiba,generic,TOSHIBA Corporation,2024-07-02
.tours,generic,"Sugar Station, LLC",2024-07-02
.town,generic,"Koko Moon, LLC",2024-07-02
.toys,generic,"Pioneer Orchard, LLC",2024-07-02
.trade,generic,Elite Registry Limited,2024-07-02
